year,code,amount,name,topname,depname,depcat,cat,ref
2006,3101010100,0,無細項,國民大會主管,國民大會,一般行政,政權行使支出,1.1.1
2006,3101019000,0,其他設備,國民大會主管,國民大會,一般建築及設備,政權行使支出,1.1.2.1
2006,3202010100,997420000,無細項,總統府主管,總統府,一般行政,國務支出,2.1.1
2006,3202010200,50576000,無細項,總統府主管,總統府,國務機要,國務支出,2.1.2
2006,3202010300,20868000,無細項,總統府主管,總統府,國家慶典,國務支出,2.1.3
2006,3202010400,16741000,國家發展研究及諮詢,總統府主管,總統府,研究發展,國務支出,2.1.4.1
2006,3202010500,22545000,無細項,總統府主管,總統府,新聞發布,國務支出,2.1.5
2006,3202010600,19689000,無細項,總統府主管,總統府,卸任禮遇,國務支出,2.1.6
2006,3202011000,917000,公報編印,總統府主管,總統府,公報編印及機要電訊,國務支出,2.1.7.1
2006,3202011100,4875000,無細項,總統府主管,總統府,印信及勳章鑄造,國務支出,2.1.8
2006,3202019000,46627000,營建工程,總統府主管,總統府,一般建築及設備,國務支出,2.1.9.1
2006,3202019800,2182000,無細項,總統府主管,總統府,第一預備金,國務支出,2.1.10
2006,3202100100,164682000,無細項,總統府主管,國家安全會議,一般行政,國務支出,2.2.1
2006,3202101000,2174000,無細項,總統府主管,國家安全會議,策進國家安全議事業務,國務支出,2.2.2
2006,3202102000,12234000,無細項,總統府主管,國家安全會議,策進國家安全諮詢研究業務,國務支出,2.2.3
2006,3202105000,17792000,無細項,總統府主管,國家安全會議,策進國際安全合作研究業務,國務支出,2.2.4
2006,3202109000,2520000,交通及運輸設備,總統府主管,國家安全會議,一般建築及設備,國務支出,2.2.5.1
2006,3202109800,234000,無細項,總統府主管,國家安全會議,第一預備金,國務支出,2.2.6
2006,5202303000,26230000,無細項,總統府主管,國史館及所屬,史料數位典藏,科學支出,2.3.1
2006,5202305000,15328000,無細項,總統府主管,國史館及所屬,典藏日據與光復初期史料數位化計畫,科學支出,2.3.2
2006,5302300100,163928000,無細項,總統府主管,國史館及所屬,一般行政,文化支出,2.3.3
2006,5302301000,3202000,史料採集,總統府主管,國史館及所屬,史料採集與典藏,文化支出,2.3.4.1
2006,5302302000,11241000,無細項,總統府主管,國史館及所屬,國史編纂,文化支出,2.3.5
2006,5302304000,126205000,無細項,總統府主管,國史館及所屬,文獻行政,文化支出,2.3.6
2006,5302309000,0,交通及運輸設備,總統府主管,國史館及所屬,一般建築及設備,文化支出,2.3.7.1
2006,5302309800,364000,無細項,總統府主管,國史館及所屬,第一預備金,文化支出,2.3.8
2006,5202400100,415268000,無細項,總統府主管,中央研究院,一般行政,科學支出,2.4.1
2006,5202401000,755232000,學術審議及研究獎助,總統府主管,中央研究院,一般學術研究及評議,科學支出,2.4.2.1
2006,5202402000,7271456000,無細項,總統府主管,中央研究院,自然及人文社會科學研究,科學支出,2.4.3
2006,5202409000,66346000,土地購置,總統府主管,中央研究院,一般建築及設備,科學支出,2.4.4.1
2006,5202409800,5410000,無細項,總統府主管,中央研究院,第一預備金,科學支出,2.4.5
2006,3303010100,570704000,無細項,行政院主管,行政院,一般行政,行政支出,3.1.1
2006,3303010700,5987000,政策審議議事,行政院主管,行政院,施政業務,行政支出,3.1.2.1
2006,3303010900,5326000,無細項,行政院主管,行政院,法制業務,行政支出,3.1.3
2006,3303011100,10526000,無細項,行政院主管,行政院,行政機要,行政支出,3.1.4
2006,3303011500,50308000,無細項,行政院主管,行政院,科技發展研究諮詢,行政支出,3.1.5
2006,3303011600,33462000,無細項,行政院主管,行政院,聯合服務業務,行政支出,3.1.6
2006,3303011700,68847000,無細項,行政院主管,行政院,飛航安全業務,行政支出,3.1.7
2006,3303011800,9054000,無細項,行政院主管,行政院,國土安全規劃,行政支出,3.1.8
2006,3303019000,0,土地購置,行政院主管,行政院,一般建築及設備,行政支出,3.1.9.1
2006,3303019800,3000000,無細項,行政院主管,行政院,第一預備金,行政支出,3.1.10
2006,3303100100,683114000,無細項,行政院主管,主計處,一般行政,行政支出,3.2.1
2006,3303101000,6621000,中央總預算核編及執行,行政院主管,主計處,公務機關歲計會計業務,行政支出,3.2.2.1
2006,3303101100,3817000,特種基金預算核編及執行,行政院主管,主計處,特種基金歲計會計業務,行政支出,3.2.3.1
2006,3303101200,5770000,統計行政與統計標準,行政院主管,主計處,統計業務,行政支出,3.2.4.1
2006,3303101300,249706000,基本國勢調查,行政院主管,主計處,普查及抽樣調查業務,行政支出,3.2.5.1
2006,3303101500,22917000,無細項,行政院主管,主計處,主計業務視導與訓練,行政支出,3.2.6
2006,3303109000,0,營建工程,行政院主管,主計處,一般建築及設備,行政支出,3.2.7.1
2006,3303109800,1350000,無細項,行政院主管,主計處,第一預備金,行政支出,3.2.8
2006,3303110100,165198000,無細項,行政院主管,主計處電子處理資料中心,一般行政,行政支出,3.3.1
2006,3303111000,15337000,無細項,行政院主管,主計處電子處理資料中心,各機關應用電子計算機作業之審查輔導,行政支出,3.3.2
2006,3303111100,8644000,無細項,行政院主管,主計處電子處理資料中心,電子計算機作業系統之分析設計,行政支出,3.3.3
2006,3303111200,5359000,無細項,行政院主管,主計處電子處理資料中心,電子計算機技術之研究與訓練,行政支出,3.3.4
2006,3303111300,15577000,無細項,行政院主管,主計處電子處理資料中心,電子計算機之管理與資料處理,行政支出,3.3.5
2006,3303111400,5391000,無細項,行政院主管,主計處電子處理資料中心,資訊系統推廣服務,行政支出,3.3.6
2006,3303119000,80000,交通及運輸設備,行政院主管,主計處電子處理資料中心,一般建築及設備,行政支出,3.3.7.1
2006,3303119800,500000,無細項,行政院主管,主計處電子處理資料中心,第一預備金,行政支出,3.3.8
2006,3903201100,124155000,國際新聞規劃及研究,行政院主管,新聞局,國際新聞業務,外交支出,3.4.1.1
2006,5303200100,635150000,無細項,行政院主管,新聞局,一般行政,文化支出,3.4.2
2006,5303201000,10613000,新聞發布與新聞聯繫工作,行政院主管,新聞局,國內新聞業務,文化支出,3.4.3.1
2006,5303201200,719798000,廣播電視事業輔導,行政院主管,新聞局,大眾傳播事業輔導,文化支出,3.4.4.1
2006,5303201300,39968000,無細項,行政院主管,新聞局,綜合計畫業務,文化支出,3.4.5
2006,5303201600,298938000,無細項,行政院主管,新聞局,對財團法人中央通訊社捐助,文化支出,3.4.6
2006,5303201800,490357000,無細項,行政院主管,新聞局,對財團法人中央廣播電台捐助,文化支出,3.4.7
2006,5303201900,900000000,無細項,行政院主管,新聞局,對財團法人公視基金會捐贈,文化支出,3.4.8
2006,5303202100,41046000,無細項,行政院主管,新聞局,地方新聞業務,文化支出,3.4.9
2006,5303209000,900000,交通及運輸設備,行政院主管,新聞局,一般建築及設備,文化支出,3.4.10.1
2006,5303209800,4260000,無細項,行政院主管,新聞局,第一預備金,文化支出,3.4.11
2006,3303300100,363226000,無細項,行政院主管,人事行政局,一般行政,行政支出,3.5.1
2006,3303302100,18000000,人事行政電子化政府,行政院主管,人事行政局,人事業務之策進執行及人員之考訓,行政支出,3.5.2.1
2006,3303309800,1080000,無細項,行政院主管,人事行政局,第一預備金,行政支出,3.5.3
2006,7503303400,112786000,無細項,行政院主管,人事行政局,第一屆資深中央民代自願退職給付,退休撫卹給付支出,3.5.4
2006,7503303600,11418000,無細項,行政院主管,人事行政局,因公殘廢死亡慰問給付,退休撫卹給付支出,3.5.5
2006,7503304300,79457000,無細項,行政院主管,人事行政局,公教員工資遺退職給付,退休撫卹給付支出,3.5.6
2006,8903304500,2561000000,無細項,行政院主管,人事行政局,公務人員婚喪生育及子女教育補助,其他支出,3.5.7
2006,3303310100,63912000,無細項,行政院主管,公務人力發展中心,一般行政,行政支出,3.6.1
2006,3303311000,100920000,無細項,行政院主管,公務人力發展中心,訓練輔導及研究,行政支出,3.6.2
2006,3303319000,133080000,營建工程,行政院主管,公務人力發展中心,一般建築及設備,行政支出,3.6.3.1
2006,3303319800,600000,無細項,行政院主管,公務人力發展中心,第一預備金,行政支出,3.6.4
2006,3303320100,62634000,無細項,行政院主管,公務人員住宅及福利委員會,一般行政,行政支出,3.7.1
2006,3303321000,9009000,無細項,行政院主管,公務人員住宅及福利委員會,住宅輔購及福利互助,行政支出,3.7.2
2006,3303329000,660000,交通及運輸設備,行政院主管,公務人員住宅及福利委員會,一般建築及設備,行政支出,3.7.3.1
2006,3303329800,427000,無細項,行政院主管,公務人員住宅及福利委員會,第一預備金,行政支出,3.7.4
2006,7303328100,1951623000,中央公務人員購置住宅貸款基金,行政院主管,公務人員住宅及福利委員會,非營業特種基金,社區發展支出,3.7.5.1
2006,8903322000,0,無細項,行政院主管,公務人員住宅及福利委員會,公教人員福利互助結算金補助,其他支出,3.7.6
2006,3303330100,98453000,無細項,行政院主管,地方行政研習中心,一般行政,行政支出,3.8.1
2006,3303330200,55664000,無細項,行政院主管,地方行政研習中心,地方公務人員訓練,行政支出,3.8.2
2006,3303339000,0,營建工程,行政院主管,地方行政研習中心,一般建築及設備,行政支出,3.8.3.1
2006,3303339800,600000,無細項,行政院主管,地方行政研習中心,第一預備金,行政支出,3.8.4
2006,5303400100,443543000,無細項,行政院主管,國立故宮博物院,一般行政,文化支出,3.9.1
2006,5303400200,14979000,器物管理,行政院主管,國立故宮博物院,文物管理,文化支出,3.9.2.1
2006,5303400300,36480000,無細項,行政院主管,國立故宮博物院,文物展覽,文化支出,3.9.3
2006,5303400400,1152000,文物登錄及徵集,行政院主管,國立故宮博物院,文物徵集及資料管理,文化支出,3.9.4.1
2006,5303400500,6640000,無細項,行政院主管,國立故宮博物院,文物攝影出版,文化支出,3.9.5
2006,5303400600,1639000,無細項,行政院主管,國立故宮博物院,文物科技研析維護,文化支出,3.9.6
2006,5303400700,14802000,無細項,行政院主管,國立故宮博物院,安全系統管理維護,文化支出,3.9.7
2006,5303408100,10000000,故宮文物藝術發展基金,行政院主管,國立故宮博物院,非營業特種基金,文化支出,3.9.8.1
